source,target,tgt_lng
accelerate productivity,提高生产力,
barrier to entry,入门门槛,
complex data tasks,复杂数据任务,
DeepEval,DeepEval,
retrieval-augmented generation,检索增强生成,
LlamaIndex,LlamaIndex,
LangChain,LangChain,
GEval,GEval,
pytest,pytest,
CI/CD,持续集成/持续交付,
Inspect AI,Inspect AI,
UK AI Safety Institute,英国人工智能安全研究所,
Model Context Protocol,模型上下文协议,
FastMCP 1.0,FastMCP 1.0,
SDK,软件开发工具包,
MCP standard,模型上下文协议标准,
MCP 2.0,模型上下文协议2.0版,
official specification,官方规范,
LiteLLM,LiteLLM,
OpenAI API,OpenAI API,
text completion,文本补全,
embeddings,嵌入,
image generation,图像生成,
guardrails,防护栏,
caching,缓存,
logging,日志记录,
rate limiting,速率限制,
load balancing,负载均衡,
proxy framework,代理框架,
AI gateway,AI网关,
MLForecast,MLForecast,
millions of data points,数百万个数据点,
time series forecasting,时间序列预测,
high-volume data,高容量数据,
Nuxt,Nuxt,
Vue.js,Vue.js,
full-stack web applications,全栈Web应用程序,
Next.js for Vue.js,Vue.js的Next.js,
SEO-friendly capabilities,对搜索引擎友好的功能,
pre-rendering,预渲染,
server-side rendering (SSR),服务器端渲染（SSR）,
metadata management,元数据管理,
performance-oriented,面向性能的,
SEO-optimized websites,搜索引擎优化网站,
Vue.js stack,Vue.js技术栈,
Vercel,Vercel,
community,社区,
official and third-party modules,官方和第三方模块,
image processing,图像处理,
sitemaps,站点地图,
Tailwind CSS,Tailwind CSS,
Phoenix,Phoenix,
server-side web MVC framework,服务端Web MVC框架,
Elixir,Elixir,
rapid application development,快速应用开发,
developer experience,开发者体验,
Ruby on Rails,Ruby on Rails,
functional programming paradigms,函数式编程范式,
Phoenix LiveView 1.0,Phoenix LiveView 1.0,
HTML-over-the-wire solution,在线HTML解决方案,
HTMX,HTMX,
Hotwire,Hotwire,
real-time user experiences,实时用户体验,
server-rendered HTML,服务器渲染的HTML,
HTML switching,HTML切换,
LiveComponents,LiveComponents,
component-based architecture,基于组件的架构,
props passing,属性传递,
state management,状态管理,
lifecycle hooks,生命周期钩子,
React,React,
scalability,可扩展性,
complexity management,复杂性管理,
highly interactive frontends,高度交互的前端,
JavaScript framework,JavaScript框架,
Presidio,Presidio,
data protection SDK,数据保护SDK,
identifying and anonymizing sensitive data,识别和匿名化敏感数据,
structured and unstructured text,结构化和非结构化文本,
personally identifiable information (PII),个人身份信息（PII）,
credit card numbers,信用卡号码,
names and locations,姓名和位置,
named entity recognition,命名实体识别,
regular expressions,正则表达式,
rule-based logic,基于规则的逻辑,
custom entity recognizers,自定义实体识别器,
de-identification pipelines,去标识化管道,
privacy and compliance needs,隐私和合规需求,
enterprise environments,企业环境,
data-sharing controls,数据共享控制,
automates the detection of sensitive information,自动检测敏感信息,
Continuous compliance,持续合规,
Open Policy Agent,开放策略代理,
SBOMs,软件物料清单,
CD pipelines,持续交付管道,
SLSA guidance,SLSA指南,
OSCAL,开放安全控制评估语言,
Curated shared instructions for software teams,为软件团队精心策划的共享指令,
prompt libraries,提示库,
Git hooks,Git钩子,
pre-commit hooks,提交前钩子,
continuous integration,持续集成,
secret scanning,密钥扫描,
ClickHouse,ClickHouse,
distributed columnar online analytical processing (OLAP) database,分布式列式在线分析处理（OLAP）数据库,
real-time analytics,实时分析,
incremental materialized view,增量物化视图,
efficient query engine,高效查询引擎,
strong data compression,强数据压缩,
interactive queries,交互式查询,
approximate aggregate functions,近似聚合函数,
accuracy and performance,准确性与性能,
high-cardinality analytics,高基数分析,
S3 storage engine,S3存储引擎,
MergeTree,MergeTree,
separation of storage and compute,存算分离,
S3-compatible storage,兼容S3的存储,
ClickHouse tables,ClickHouse表,
OpenTelemetry,OpenTelemetry,
Sentry,Sentry,
analytics engine,分析引擎,
NeMo Guardrails,NeMo Guardrails,
NVIDIA,英伟达,
open-source toolkit,开源工具包,
programmable safety and control mechanisms,可编程安全与控制机制,
LLM-based conversational applications,基于大语言模型的对话应用,
behavioral rules,行为规则,
Colang,Colang,
purpose-built language,专用语言,
dialogue flows,对话流程,
operational procedures,操作流程,
asynchronous-first API,异步优先API,
safeguards,防护措施,
content safety,内容安全,
moderation,审核,
common LLM vulnerabilities,常见大语言模型漏洞,
pnpm,pnpm,
Node.js package manager,Node.js包管理器,
performance improvements,性能提升,
speed,速度,
disk space efficiency,磁盘空间效率,
hard-links,硬链接,
node_modules folders,node_modules文件夹,
"incremental, file-level optimizations",增量式文件级优化,
faster feedback loop,更快的反馈循环,
minimal compatibility issues,最小兼容性问题,
standard type hints,标准类型提示,
data models,数据模型,
enforce data schemas at run time,运行时强制执行数据模式,
type annotations,类型注解,
run-time validation,运行时验证,
Rust core,Rust核心,
data validation,数据验证,
serialization,序列化,
the protocol,该协议,
asynchronous-first approach,异步优先方法,
long-running tasks,长时间运行的任务,
streaming responses,流式响应,
incremental updates,增量更新,
secure transport,安全传输,
HTTPS,HTTPS,
authentication,身份验证,
authorization,授权,
SDKs,软件开发工具包,
Java,Java,
rapid adoption,快速采用,
domain-specific agents,特定领域代理,
complex workflows,复杂工作流,
Amazon S3 Vectors,亚马逊S3向量,
S3 object store,S3对象存储,
native vector capabilities,原生向量能力,
vector storage,向量存储,
similarity search functionality,相似性搜索功能,
AWS ecosystem,AWS生态系统,
Amazon Bedrock,亚马逊Bedrock,
OpenSearch,OpenSearch,
metadata filtering,元数据过滤,
governance,治理,
IAM,IAM,
preview,预览,
restrictions and limitations,限制和局限,
value proposition,价值主张,
cost-effective,成本效益高的,
accessible approach,可访问的方法,
large data volumes,大量数据,
low latency,低延迟,
Ardoq,Ardoq,
enterprise architecture (EA) platform,企业架构（EA）平台,
architecture knowledge bases,架构知识库,
data-driven approach,数据驱动方法,
dynamic knowledge graph,动态知识图谱,
Ardoq Scenarios,Ardoq场景,
visually model,可视化建模,
what-if future states,假设未来状态,
branching and merging approach,分支与合并方法,
Git,Git,
architectural transformation,架构转型,
CloudNativePG,CloudNativePG,
Kubernetes Operator,Kubernetes操作符,
hosting,托管,
managing,管理,
highly available PostgreSQL clusters,高可用PostgreSQL集群,
stateful service,有状态服务,
PostgreSQL replication,PostgreSQL复制,
abstraction,抽象,
configurable declarative resource,可配置的声明式资源,
primary/standby architecture,主备架构,
native streaming replication,原生存储流复制,
high-availability features,高可用性功能,
self-healing capabilities,自愈能力,
automated failover,自动故障转移,
most aligned replica,最一致的副本,
automatic recreation,自动重建,
failed replicas,失败的副本,
Coder,Coder,
API-to-MCP conversion,API到MCP的转换,
APIs,API,
context pollution,上下文污染,
agent performance,智能体性能,
sensitive data,敏感数据,
destructive operations,破坏性操作,
architecture patterns,架构模式,
code reviews,代码审查,
autonomous AI agent,自主人工智能代理,
"dedicated, secure MCP server",专用安全MCP服务器,
existing APIs,现有API,
Standalone data engineering teams,独立的数据工程团队,
data pipelines,数据管道,
stream-aligned business domains,流对齐业务领域,
antipattern,反模式,
inefficiencies,低效率,
weak business outcomes,薄弱的业务成果,
DevOps,DevOps,
testing,测试,
deployment functions,部署职能,
knowledge silos,知识孤岛,
bottlenecks,瓶颈,
wasted effort,资源浪费,
data platform teams,数据平台团队,
cross-functional business teams,跨职能业务团队,
data mesh principles,数据网格原则,
Text to SQL,文本转SQL,
executable SQL,可执行SQL,
unsupervised workflows,无人监督的工作流,
user-generated queries,用户生成的查询,
schema,模式,
domain understanding,领域理解,
incorrect data retrieval,错误的数据检索,
unintended data modification,意外的数据修改,
nondeterministic nature,非确定性特性,
debugging,调试,
auditing errors,审计错误,
human review,人工审查,
generated queries,生成的查询,
agentic business intelligence,智能体商业智能,
direct database access,直接数据库访问,
governed data abstraction semantic layer,受管控的数据抽象语义层,
Cube,Cube,
dbt’s semantic layer,dbt的语义层,
semantically rich access layer,语义丰富的访问层,
Graft,Graft,
transactional storage engine,事务存储引擎,
strongly consistent,强一致性,
efficient data synchronization,高效数据同步,
edge and distributed environments,边缘和分布式环境,
lazy replication,惰性复制,
partial replication,部分复制,
bandwidth consumption,带宽消耗,
serializable snapshot isolation,可序列化快照隔离,
data integrity,数据完整性,
Electric,Electric,
object storage,对象存储,
transactional system,事务系统,
consistent page-level updates,一致的页面级更新,
data format,数据格式,
local-first mobile applications,本地优先的移动应用,
cross-platform synchronization,跨平台同步,
stateless replicas,无状态副本,
serverless or embedded systems,无服务器或嵌入式系统,
groundcover,groundcover,
cloud-native observability platform,云原生可观测性平台,
"logs, traces, metrics and Kubernetes events",日志、追踪、指标和Kubernetes事件,
single pane of glass,单一视图,
eBPF,eBPF,
zero code instrumentation,零代码插桩,
agents or SDKs,代理或SDK,
application code,应用程序代码,
eBPF sensor,eBPF传感器,
dedicated node,专用节点,
monitored cluster,被监控集群,
kernel-level visibility,内核级可见性,
bring-your-own-cloud (BYOC),自带云（BYOC）,
data privacy,数据隐私,
data volume–agnostic pricing model,与数据量无关的定价模式,
predictable costs,可预测的成本,
Karmada,Karmada,
Kubernetes Armada,Kubernetes舰队,
orchestrating workloads,编排工作负载,
"multiple Kubernetes clusters, clouds and data centers",多个Kubernetes集群、云和数据中心,
GitOps tools,GitOps工具,
Flux,Flux,
ArgoCD,ArgoCD,
custom scripts,自定义脚本,
purpose-built solution,专用解决方案,
Kubernetes-native APIs,Kubernetes原生API,
cloud-native environments,云原生环境,
advanced scheduling capabilities,高级调度能力,
multi-cloud management,多云管理,
failure recovery,故障恢复,
traffic scheduling,流量调度,
CNCF project,CNCF项目,
"networking, state and storage management",网络、状态和存储管理,
service mesh,服务网格,
Istio,Istio,
Linkerd,Linkerd,
traffic handling,流量处理,
stateful workloads,有状态工作负载,
distributed data,分布式数据,
OpenFeature,OpenFeature,
software value chain,软件价值链,
forward engineering,正向工程,
dependency documentation,依赖文档,
custom commands,自定义命令,
equitable knowledge diffusion,公平的知识传播,
tool landscape,工具生态,
Bolt,Bolt,
self-serve UI prototyping,自助式UI原型设计,
scope,范围,
granularity,粒度,
single source of truth,唯一真相来源,
incremental delivery,渐进式交付,
human judgment,人工判断,
Emerging AI antipatterns,新兴AI反模式,
accelerating adoption of AI,AI加速采用,
effective practices,有效实践,
emergent antipatterns,新兴反模式,
"self-serve, throwaway UI prototyping with GenAI",使用生成式人工智能进行自助式一次性UI原型设计,
text-to-SQL solutions,文本转SQL解决方案,
traditional software-engineering antipatterns,传统的软件工程反模式,
heavy up-front specification,过度的前期规范,
big-bang releases,一次性整体发布,
unprecedented pace and scale,前所未有的速度和规模,
new antipatterns,新反模式,
vigilant,保持警惕,
feedback,反馈,
adaptability,适应性,
accountability,问责性,
Oxide,Oxide,
private infrastructure,私有基础设施,
public cloud,公有云,
compute,计算,
networking,网络,
storage,存储,
system software,系统软件,
IaaS APIs,IaaS API,
automation tools,自动化工具,
on-premises elastic infrastructure,本地弹性基础设施,
Dell,戴尔,
VMware’s VxRail,VMware的VxRail,
Nutanix,Nutanix,
HPE SimpliVity,HPE SimpliVity,
hyper-converged infrastructure (HCI),超融合基础设施（HCI）,
purpose-built approach,专用构建方法,
circuit boards,电路板,
power supplies,电源,
firmware,固件,
Hubris,Hubris,
memory-protected,内存保护,
message-passing kernel,消息传递内核,
embedded systems,嵌入式系统,
infrastructure projects,基础设施项目,
license fees,许可费用,
Restate,Restate,
durable execution platform,持久执行平台,
distributed system challenges,分布式系统挑战,
"stateful, fault-tolerant applications",有状态、容错应用程序,
execution journaling,执行日志记录,
fault-tolerance,容错性,
reliable recovery,可靠恢复,
exactly-once communication,精确一次通信,
architectural advantage,架构优势,
application logic,应用逻辑,
Basic Services,基础服务,
stateless functions,无状态功能,
Virtual Objects,虚拟对象,
"concurrent, stateful entities",并发的有状态实体,
multi-step processes,多步骤流程,
insurance system,保险系统,
SkyPilot,SkyPilot,
open-source platform,开源平台,
AI workloads,AI工作负载,
on-premises,本地,
Sky Computing Lab,天空计算实验室,
UC Berkeley,加州大学伯克利分校,
intelligent broker,智能代理,
provisioning,资源供应,
Kubernetes clusters,Kubernetes集群,
infrastructure teams,基础设施团队,
Slurm-like ease of use,类似Slurm的易用性,
cloud-native robustness,云原生健壮性,
SSH access,SSH访问,
multi-cluster support,多集群支持,
training or inference workloads,训练或推理工作负载,
StarRocks,StarRocks,
binary SQL,二进制SQL,
database driver,数据库驱动程序,
serverless,无服务器,
ORM,对象关系映射,
Java post-quantum cryptography,Java后量子密码学,
Quantum computers,量子计算机,
SaaS,软件即服务,
AWS Braket,AWS Braket,
quantum algorithms,量子算法,
architectures,架构,
Java 24,Java 24,
ML-KEM,ML-KEM,
ML-DSA,ML-DSA,
.Net 10,.Net 10,
kagent,kagent,
open-source framework,开源框架,
operational tasks,运维任务,
diagnosing issues,诊断问题,
remediating configurations,修复配置,
observability tools,可观测性工具,
AgentOps,代理运维,
cloud-native infrastructure,云原生基础设施,
declarative management,声明式管理,
autonomous reasoning,自主推理,
CNCF Sandbox project,CNCF沙箱项目,
LangExtract,LangExtract,
structured information,结构化信息,
unstructured text,非结构化文本,
user-defined instructions,用户定义指令,
domain-specific materials,领域特定材料,
clinical notes,临床记录,
reports,报告,
extracted data point,提取的数据点,
source,来源,
.jsonl file,.jsonl文件,
language model data,语言模型数据,
interactive HTML interface,交互式HTML界面,
contextual review,上下文审查,
domain knowledge graph,领域知识图谱,
machine-readable representations,机器可读表示,
LMCache,LMCache,
key-value (KV) cache,键值（KV）缓存,
LLM serving infrastructure,大语言模型服务基础设施,
LLM inference engines,大语言模型推理引擎,
KV cache entries,KV缓存条目,
chat histories,聊天记录,
document collections,文档集合,
disk,磁盘,
prefill computations,预填充计算,
time-to-first-token (TTFT),首令牌时间（TTFT）,
inference costs,推理成本,
RAG pipelines,RAG管道,
multi-turn chat applications,多轮聊天应用,
NVIDIA Dynamo,NVIDIA Dynamo,
Mem0,Mem0,
memory layer,记忆层,
naive approaches,简单方法,
database,数据库,
short-term recall,短期回忆,
intelligent long-term layer,智能长期记忆层,
salient facts and relationships,关键事实和关系,
vector store,向量存储,
semantic similarity,语义相似性,
temporal and relational data,时序和关系数据,
context token usage,上下文令牌使用,
long-term awareness,长期意识,
personalization,个性化,
Open Security Control Assessment Language (OSCAL),开放安全控制评估语言（OSCAL）,
machine-readable information exchange format,机器可读信息交换格式,
automation,自动化,
compliance,合规,
risk management,风险管理,
National Institute of Standards and Technology (NIST),美国国家标准与技术研究院（NIST）,
XML,XML,
YAML,YAML,
security controls,安全控制,
industry frameworks,行业框架,
SOC 2,SOC 2,
PCI,PCI,
government frameworks,政府框架,
FedRAMP,FedRAMP,
Singapore’s Cybersecurity Control Catalogue,新加坡网络安全控制目录,
Australia’s Information Security Manual,澳大利亚信息安全手册,
public sector,公共部门,
security assessments,安全评估,
box-ticking exercises,勾选框任务,
automated compliance,自动合规,
compliance-as-code,合规即代码,
continuous compliance platforms,持续合规平台,
OpenInference,OpenInference,
Valibot,Valibot,
Zod,Zod,
Ajv,Ajv,
type inference,类型推断,
modular design,模块化设计,
bundlers,打包工具,
tree shaking,摇树优化,
code splitting,代码分割,
bundle size,包大小,
client-side validation,客户端验证,
serverless functions,无服务器函数,
full-stack toolkit,全栈工具包,
AI-powered applications,AI驱动的应用,
AI SDK Core,AI SDK 核心,
model-agnostic LLM calls,与模型无关的LLM调用,
text generation,文本生成,
structured object generation,结构化对象生成,
tool calling,工具调用,
AI SDK UI,AI SDK 用户界面,
streaming,流式传输,
real-time UI updates,实时UI更新,
Vue,Vue,
Next.js,Next.js,
Svelte,Svelte,
E2B,E2B,
"secure, isolated sandboxes",安全隔离的沙箱,
cloud,云,
Firecracker microVMs,Firecracker 微型虚拟机,
code,代码,
research,研究,
virtual machine,虚拟机,
enterprise-grade AI agents,企业级人工智能代理,
execution environment,执行环境,
Helix editor,Helix 编辑器,
text editors,文本编辑器,
command-line,命令行,
Vim,Vim,
Neovim,Neovim,
Kakoune,Kakoune,
post-modern text editor,后现代文本编辑器,
multiple cursors,多光标,
Tree-sitter support,Tree-sitter 支持,
Language Server Protocol (LSP),语言服务器协议（LSP）,
plugin system,插件系统,
lightweight modal editor,轻量级模态编辑器,
Kubernetes-native controller,Kubernetes 原生控制器,
job queuing,作业排队,
quotas,配额,
Kubernetes workloads,Kubernetes 工作负载,
priorities,优先级,
resource requirements,资源需求,
job-level manager,作业级别管理器,
admit or evict jobs,接纳或驱逐作业,
efficient resource management,高效资源管理,
job prioritization,作业优先级排序,
advanced scheduling,高级调度,
workload execution,工作负载执行,
ML workloads,机器学习工作负载,
Kubeflow,Kubeflow,
cluster-autoscaler,集群自动扩缩器,
kube-scheduler,kube-scheduler,
job admission,作业准入,
priority,优先级,
topology awareness,拓扑感知,
Kubernetes Special Interest Group (SIG),Kubernetes 特别兴趣小组（SIG）,
development standards,开发标准,
scan mode,扫描模式,
proxy mode,代理模式,
security scanner,安全扫描器,
configurations,配置,
tool descriptions,工具描述,
known vulnerabilities,已知漏洞,
prompt injections,提示注入,
tool poisoning,工具投毒,
toxic flows,有害流程,
agent system,代理系统,
runtime traffic,运行时流量,
custom security rules,自定义安全规则,
tool call validation,工具调用验证,
PII detection,个人身份信息检测,
data flow constraints,数据流限制,
proactive security layer,主动安全层,
oRPC,oRPC,
OpenAPI Remote Procedure Call,OpenAPI远程过程调用,
end-to-end typesafe APIs,端到端类型安全API,
OpenAPI specification,OpenAPI规范,
automatically generate,自动生成,
integration,集成,
tRPC,tRPC,
ElysiaJS,ElysiaJS,
Node.js frameworks,Node.js框架,
Express,Express,
Hono,Hono,
type safety,类型安全,
disruptive refactor,破坏性重构,
Langflow,Langflow,
Using GenAI to understand legacy codebases,使用生成式AI理解遗留代码库,
Delta Lake liquid clustering,Delta Lake液态聚类,
GraphQL as data access pattern for LLMs,GraphQL作为大语言模型的数据访问模式,
Knowledge flows over knowledge stocks,知识流优于知识存量,
Toxic flow analysis for AI,针对AI的有毒流分析,
Dovetail,Dovetail,
Relational AI,关系型AI,
Tape/Z Tools for Assembly Program Exploration for Z/OS,用于Z/OS汇编程序探索的Tape/Z工具,
Docker Compose,Docker Compose,
WireGuard,WireGuard,
Caddy,Caddy,
decentralized design,去中心化设计,
cluster,集群,
cloud VMs,云虚拟机,
bare-metal servers,裸金属服务器,
computing environment,计算环境,
Tape/Z (Tools for Assembly Program Exploration for Z/OS),Tape/Z（用于Z/OS汇编程序探索的工具）,
New,新增,
Moved in/out,移入/移出,
No change,无变化,
Gitpod,Gitpod,
Ona,Ona,
GitHub Codespaces,GitHub Codespaces,
workstation templates,工作站模板,
data security risks,数据安全风险,
Technology Advisory Board (TAB),技术咨询委员会（TAB）,
senior technologists,高级技术人员,
Rachel Laycock,瑞秋·莱考克,
CTO,首席技术官,
Chief Scientist,首席科学家,
Martin Fowler,马丁·福勒,
Bucharest,布加勒斯特,
Camilla Falconi Crispim,卡米拉·法尔科尼·克里斯平,
James Lewis,詹姆斯·刘易斯,
Kief Morris,基夫·莫里斯,
Ken Mugrage,肯·穆格雷奇,
Effy Elden,艾菲·埃尔登,
Chris Chakrit Riddhagni,克里斯·查克里特·里德哈尼,
Selvakumar Natesan,塞爾瓦库马尔·纳塔桑,
analytical database,分析型数据库,
real-time business intelligence,实时商业智能,
OLAP,OLAP,
data lakehouse,数据湖仓,
query latency,查询延迟,
SIMD-optimized execution engine,SIMD优化执行引擎,
columnar storage,列式存储,
cost-based optimizer,基于成本的优化器,
high-performance architecture,高性能架构,
complex analytics,复杂分析,
open data formats,开放数据格式,
Apache Iceberg,Apache Iceberg,
data copying,数据复制,
concurrency,并发性,
low-code platform,低代码平台,
LLM workflows,大语言模型工作流,
vector databases,向量数据库,
memory components,内存组件,
drag-and-drop interface,拖放界面,
custom Python code,自定义Python代码,
advanced logic,高级逻辑,
agentic applications,代理型应用,
back-end code,后端代码,
production use,生产使用,
versioned as code,作为代码进行版本控制,
API specification,API规范,
feature flags,功能标志,
management solution,管理解决方案,
ConfigCat,ConfigCat,
LaunchDarkly,LaunchDarkly,
flag proliferation,标志泛滥,
application complexity,应用程序复杂性,
testing overhead,测试开销,
vendor-agnostic,供应商无关,
community-driven,社区驱动,
environment variables,环境变量,
in-memory configurations,内存配置,
global technology consultancy,全球科技咨询公司,
"design, engineering and AI expertise",设计、工程和人工智能专长,
culture of innovation and technology excellence,创新与技术卓越文化,
enterprise systems,企业系统,
agility,敏捷性,
digital experiences,数字体验,
clients’ most critical challenges,客户最关键的挑战,
AI and human ingenuity,人工智能与人类智慧,
AI applications,人工智能应用,
instrumentation,监控工具,
machine-learning frameworks,机器学习框架,
libraries,库,
LLM invocations,大语言模型调用,
vector store retrievals,向量存储检索,
external tool calls,外部工具调用,
search engines,搜索引擎,
Spans,跨度,
OTEL-compatible collector,OTEL兼容的收集器,
telemetry pipelines,遥测管道,
LLM observability platform,大语言模型可观测性平台,
OpenInference SDK,OpenInference SDK,
traces,追踪,
observability platforms,可观测性平台,
design mode,设计模式,
self-serve UI prototypes,自助式UI原型,
latest release,最新版本,
in-house model,内部模型,
large context windows,大上下文窗口,
multimodal capabilities,多模态能力,
UIs,用户界面,
agentic mode,代理模式,
structured output from LLMs technique,大语言模型结构化输出技术,
data schema,数据模式,
free-form text responses,自由文本响应,
"deterministic, type-safe Python objects",确定性的、类型安全的Python对象,
machine-readable data contracts,机器可读的数据契约,
The Radar,雷达,
Agent‐to‐Agent (A2A) Protocol,代理间(A2A)协议,
machine learning models,机器学习模型,
large-scale data sets,大规模数据集,
automated feature engineering,自动特征工程,
lags,滞后,
rolling statistics,滚动统计,
date-based features,基于日期的特征,
distributed computing frameworks,分布式计算框架,
Dask,Dask,
probabilistic forecasting,概率预测,
conformal prediction,保形预测,
forecast uncertainty,预测不确定性,
Brigitte Britten-Kelly,布丽吉特·布里滕-凯利,
Digital Content Strategist,数字内容策略师,
Vandita Kamboj,万迪塔·坎博吉,
UX Designer,用户体验设计师,
Lohith Amruthappa,洛希特·阿姆鲁塔帕,
Analytics Specialist,分析专家,
Neeti Thakur,妮蒂·塔库尔,
Marketing Automation Specialist,营销自动化专家,
Leticia Nunes,莱蒂西亚·努内斯,
Lead Designer,首席设计师,
Sruba Deb,斯鲁巴·德布,
Visual Designer,视觉设计师,
Ryan Cambage,瑞安·坎贝奇,
Multimedia Specialist,多媒体专家,
Anish Thomas,阿尼什·托马斯,
Multimedia Designer,多媒体设计师,
Shalini Jagadish,莎琳尼·贾加迪什,
Internal Communications Specialist,内部沟通专家,
Hiral Shah,希拉尔·沙阿,
Social Media Specialist,社交媒体专家,
Abhishek Kasegaonkar,阿比谢克·卡塞高恩卡尔,
Michelle Surendran,米歇尔·苏伦德拉,
Public Relations Specialist,公共关系专家,
Anushree Tapuriah,阿努诗丽·塔普里亚,
Campaigns and Advertisement Specialist,广告活动与广告专家,
Copilot,Copilot,
Aider,Aider,
Cody,Cody,
Swimm,Swimm,
Unblocked,Unblocked,
PocketFlow-Tutorial-Codebase-Knowledge,PocketFlow教程代码库知识,
open frameworks,开源框架,
TypeScript ORM,TypeScript ORM,
Prisma ORM,Prisma ORM,
SQL- like API,类SQL API,
ORM-style query interface,ORM风格查询接口,
schemas,模式,
existing databases,现有数据库,
database-first,数据库优先,
code-first,代码优先,
serverless environments,无服务器环境,
prepared statements,预处理语句,
version 1.0,1.0版本,
Agent2Agent,代理到代理,
communication,通信,
interaction,交互,
multi-agent workflows,多代理工作流,
Agent Cards,代理卡片,
skill discovery,技能发现,
transport,传输,
security schemes,安全方案,
agent-to-agent communication,代理到代理通信,
internal details,内部细节,
agent’s state,代理状态,
HTTP,HTTP,
WebSocket,WebSocket,
web,网页,
desktop,桌面,
CLI,命令行界面,
AI chat interfaces,AI聊天界面,
message editing,消息编辑,
branch switching,分支切换,
UX features,用户体验功能,
data-centric AI paradigm,以数据为中心的AI范式,
data set quality,数据集质量,
performance gains,性能提升,
model,模型,
data issues,数据问题,
mislabeling,标签错误,
outliers,异常值,
blip,小众技术,
technique,方法,
Shangqi Liu,刘尚奇,
Vanya Seth,瓦尼亚·塞思,
Will Amaral,威尔·阿马拉尔,
Bharani Subramaniam,巴拉尼·苏布拉马尼安,
Alessio Ferri,阿莱西奥·费里,
Maya Ormaza,玛雅·奥尔马扎,
Birgitta Böckeler,比尔吉塔·伯克勒,
Bryan Oliver,布莱恩·奥利弗,
Neal Ford,尼尔·福特,
Nati Rivera,纳蒂·里韦拉,
Pawan Shah,帕万·沙阿,
Ni Wang,倪望,
Nimisha Asthagiri,尼米莎·阿斯塔格iri,
Editorial Team,编辑团队,
Digital and Web Experience,数字与网络体验,
Design and Multimedia,设计与多媒体,
Communications,传播,
Willian Amaral,威利安·阿马拉尔,
Product Owner,产品负责人,
Preeti Mishra,普里蒂·米什拉,
Project and Campaign Manager,项目与活动经理,
Richard Gall,理查德·加尔,
Content Editor,内容编辑,
Michael Koch,迈克尔·科赫,
Copy Editor,文案编辑,
Gareth Morgan,加雷斯·摩根,
Head of Content and Thought Leadership,内容与思想领导力主管,
Rashmi Naganur,拉什米·纳加努尔,
Business Analyst,业务分析师,
"Thoughtworks, Inc",思特沃克公司,
Prakhar Nigam,普拉卡尔·尼甘,
